Country Name,Country Code,2012,2013,2014,2015,2016,2017
Aruba,ABW,2534636872,2581564246,2649720670,2691620112,2646927374,2700558659
Afghanistan,AFG,19907317066,20561069558,20484885120,19907111419,19046357714,19543976895
Angola,AGO,1.28053E+11,1.3671E+11,1.45712E+11,1.16194E+11,1.01124E+11,1.22124E+11
Albania,ALB,12319784886,12776280961,13228247844,11386931490,11883682171,13038538300
Andorra,AND,3164615187,3281585236,3350736367,2811489409,2877311947,3012914131
Arab World,ARB,2.78679E+12,2.86686E+12,2.90839E+12,2.56077E+12,2.51313E+12,2.58453E+12
United Arab Emirates,ARE,3.74591E+11,3.90108E+11,4.03137E+11,3.58135E+11,3.57045E+11,3.82575E+11
Argentina,ARG,5.45982E+11,5.52025E+11,5.2632E+11,5.94749E+11,5.54861E+11,6.3743E+11
Armenia,ARM,10619320049,11121465767,11609512940,10553337673,10546135160,11536590636
American Samoa,ASM,644000000,641000000,643000000,661000000,653000000,634000000
Antigua and Barbuda,ATG,1211411704,1192919619,1275576784,1359194737,1464630213,1510084751
Australia,AUS,1.54341E+12,1.5737E+12,1.46496E+12,1.34903E+12,1.20804E+12,1.32342E+12
Austria,AUT,4.09425E+11,4.30069E+11,4.41996E+11,3.81806E+11,3.94053E+11,4.16836E+11
Azerbaijan,AZE,69683935845,74164435946,75244294275,53074370486,37867518957,40747792238
Burundi,BDI,2333308099,2451625333,2705783272,3104394858,2959185295,3172416146
Belgium,BEL,4.97884E+11,5.20925E+11,5.30808E+11,4.55838E+11,4.69739E+11,4.94764E+11
Benin,BEN,8152554487,9157355680,9707432016,8291155881,8573159697,9246696924
Burkina Faso,BFA,11166063467,11947176342,12377391463,10419303761,10886363727,12322864245
Bangladesh,BGD,1.33356E+11,1.4999E+11,1.72885E+11,1.95079E+11,2.21415E+11,2.49724E+11
Bulgaria,BGR,53903022339,55555171010,56814543481,50201314895,53240950226,58220973783
Bahrain,BHR,30749308511,32539547872,33387712766,31125851064,32250132979,35432686170
"Bahamas, The",BHS,10720500000,10627600000,10957300000,11792300000,11838800000,12162100000
Bosnia and Herzegovina,BIH,17226849297,18178503835,18558343508,16209702864,16911088174,18054854789
Belarus,BLR,65685102555,75527984234,78813839984,56454734397,47749057078,54456465473
Belize,BLZ,1563827850,1608442150,1692955750,1762500450,1806646250,1862614800
Bermuda,BMU,5537537000,5573710000,,,,
Bolivia,BOL,27084497540,30659338929,32996187988,33000198263,33941126194,37508642113
Brazil,BRA,2.46519E+12,2.47281E+12,2.45599E+12,1.80221E+12,1.79628E+12,2.05359E+12
Barbados,BRB,4656350000,4612500000,4608350000,4584150000,4529050000,4673500000
